source_id,target_id,weight,source_book,page,evidence
E41013,E53596,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41013,E53602,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41013,E53607,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41015,E48560,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41015,E49038,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41015,E53593,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41015,E53596,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41015,E53602,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41015,E53607,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41017,E48560,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41017,E49038,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41017,E53593,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41017,E53596,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41017,E53602,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41017,E53607,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41022,E48560,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41022,E49038,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41022,E53593,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41022,E53596,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41022,E53602,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41022,E53607,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41024,E48560,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41024,E49038,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41024,E53593,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41024,E53596,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41024,E53602,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
E41024,E53607,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",77,"壳体温度点温计(贴在泵体上)1/年0油温+5~7°C温度急剧上升时,要检修与工作油(混入空气、水等)、滤油器网眼堵塞以及溢流阀振动有关压力压力表1/3月0保持规定的压力或不能保持时要修理当压力剧烈变化或不能保持时要修理注意压力表的共振液压泵外泄漏日视、手摸1/3月0漏油一滴约0.05mL更换轴密封或其它密封件注意密封件的老化混入空气在泵轴密封处和吸入管处注油试一试1/3月00完全不能吸入空气螺钉松"
